,"﻿""Post ID""",Permalink,Post Message,Type,Countries,Languages,Posted,Lifetime: The number of people who saw your Page post. (Unique Users),"Lifetime: The number of people who saw your Page post in news feed or ticker, or on your Page's timeline. (Unique Users)",Lifetime: The number of people who saw your Page post in an ad or sponsored story. (Unique Users),Lifetime: The number of people who saw your Page post in a story from a friend. (Unique Users),Lifetime: The number of impressions of your Page post. (Total Count),Lifetime: The number of impressions of your post in News Feed or ticker or on your Page's Wall. (Total Count),Lifetime: The number of impressions of your Page post in an Ad or Sponsored Story. (Total Count),Lifetime: The number of impressions of your Page post in a story generated by a friend. (Total Count),Lifetime: The number of people who clicked anywhere in your posts. (Unique Users),Lifetime: The number of unique people who created a story by interacting with your Page post. (Unique Users),Lifetime: The number of stories generated about your Page post. (Total Count),Lifetime: The number of unique people who created a story about your Page post by interacting with it. (Unique Users) - comment,Lifetime: The number of unique people who created a story about your Page post by interacting with it. (Unique Users) - like,Lifetime: The number of unique people who created a story about your Page post by interacting with it. (Unique Users) - share,"Lifetime: The number of stories created about your Page post, by action type. (Total Count) - comment","Lifetime: The number of stories created about your Page post, by action type. (Total Count) - like","Lifetime: The number of stories created about your Page post, by action type. (Total Count) - share",Lifetime: The number of people who clicked anywhere in your post. Clicks generating stories are included in &quot;Other Clicks.&quot; (Unique Users),Lifetime: The number of clicks anywhere in your post. Clicks generating stories are included in &quot;Other Clicks.&quot; (Total Count),"Lifetime: The number of people who clicked anywhere in your post, by type. Clicks generating stories are included in &quot;Other Clicks.&quot; (Unique Users) - link clicks","Lifetime: The number of people who clicked anywhere in your post, by type. Clicks generating stories are included in &quot;Other Clicks.&quot; (Unique Users) - other clicks","Lifetime: The number of people who clicked anywhere in your post, by type. Clicks generating stories are included in &quot;Other Clicks.&quot; (Unique Users) - photo view","Lifetime: The number of people who clicked anywhere in your post, by type. Clicks generating stories are included in &quot;Other Clicks.&quot; (Unique Users) - video play","Lifetime: The number of clicks anywhere in your post, by type. Clicks generating stories are included in &quot;Other Clicks.&quot; (Total Count) - link clicks","Lifetime: The number of clicks anywhere in your post, by type. Clicks generating stories are included in &quot;Other Clicks.&quot; (Total Count) - other clicks","Lifetime: The number of clicks anywhere in your post, by type. Clicks generating stories are included in &quot;Other Clicks.&quot; (Total Count) - photo view","Lifetime: The number of clicks anywhere in your post, by type. Clicks generating stories are included in &quot;Other Clicks.&quot; (Total Count) - video play",Lifetime: The number of people who have given negative feedback to your post. (Unique Users),Lifetime: The number of times people have given negative feedback to your post. (Total Count),"Lifetime: The number of people who have given negative feedback to your post, by type. (Unique Users) - hide_all_clicks","Lifetime: The number of people who have given negative feedback to your post, by type. (Unique Users) - hide_clicks","Lifetime: The number of people who have given negative feedback to your post, by type. (Unique Users) - report_spam_clicks","Lifetime: The number of people who have given negative feedback to your post, by type. (Unique Users) - unlike_page_clicks","Lifetime: The number of people who have given negative feedback to your post, by type. (Unique Users) - xbutton_clicks","Lifetime: The number of times people have given negative feedback to your post, by type. (Total Count) - hide_all_clicks","Lifetime: The number of times people have given negative feedback to your post, by type. (Total Count) - hide_clicks","Lifetime: The number of times people have given negative feedback to your post, by type. (Total Count) - report_spam_clicks","Lifetime: The number of times people have given negative feedback to your post, by type. (Total Count) - unlike_page_clicks","Lifetime: The number of times people have given negative feedback to your post, by type. (Total Count) - xbutton_clicks",Lifetime: The number of impressions of your Page post to people who have liked your Page. (Total Count),Lifetime: The number of people who saw your Page post because they've liked your Page (Unique Users),Lifetime: The number of paid impressions of your Page post to people who have liked your Page. (Total Count),Lifetime: The number of people who like your Page and who saw your Page post in an ad or sponsored story. (Unique Users),Lifetime: The number of people who have liked your Page and clicked anywhere in your posts. (Unique Users),Lifetime: The number of stories generated about your Page post by people who have liked your Page. (Total Count),Lifetime: The number of people who have liked your Page and who are sharing stories about your Page. (Unique Users)
0,10513336322_10151576352206323,https://www.facebook.com/photo.php?fbid=10151571889486323&amp;set=a.10150338151436323.391595.10513336322&amp;type=1,"After 30 years photographing pop-culture icons, Rankin has returned to his roots in publishing. Fashion and lifestyle magazine The Hunger feeds his love of new things but, as he reveals in this interview, it hasn't stopped him feeling his age or questioning what he's done with his life

Read more: http://gu.com/p/3em9a/tw?CMP=NECNETTXT766

Photograph: Rankin",Photo,,,03/31/2013 12:00:04 PM,0.94982801412033402,1.0855250208462319,,0.21921011553551947,1.0521439015103013,1.210716929062748,,0.19617182605343056,0.71576954016842054,0.46075962740575094,0.43482024352241905,0.17585484996510817,0.58343421865348988,0.19702666344727676,0.21156230626162428,0.58816267247639797,0.1981194543769037,0.72110047703339231,0.69091181623150932,0.24273027262861827,0.65877571705634119,0.87796334034869206,,0.26872624739487561,0.62127901291380261,0.86912251220921077,,0.56414724460901766,0.57638811616779795,0.57391304347826089,0.5706324881582614,,,0.59781344498720634,0.55932203389830515,0.55788613456823755,,,0.62309896407317611,1.2118330343492656,1.088185158298941,,,0.82726106156741486,0.47649584261724909,0.51787626059028014
1,10513336322_10151576178711323,https://www.facebook.com/photo.php?fbid=10151571885271323&amp;set=a.10150338151436323.391595.10513336322&amp;type=1,"The idea of women 'crying rape' exists everywhere from EM Forster to Hollyoaks. But why? In real life, false allegations of rape are incredibly rare

http://gu.com/p/3eydd/tw?CMP=NECNETTXT766

Image: Joseph and Potiphar's wife by Tintoretto",Photo,,,03/31/2013 10:00:00 AM,1.2752335550069662,1.393038035066011,,0.6391518957588761,1.3581818318969436,1.5016564237527978,,0.5807563173705601,0.96000711439292841,0.76954094838970966,0.74907669224998552,0.76203768318213538,0.77229153798641137,0.68490221103100968,0.78278053316800988,0.76328976034858387,0.66640180108594882,0.96498754912843898,1.0134153996046578,0.65537173609726929,1.0291695498357811,0.76534876156213594,,0.64662253279391935,1.1753285973136991,0.76141364280838109,,1.9745153561315618,1.9020807833537332,1.1478260869565218,1.925884647534132,0.61502347417840375,2.0912280701754384,1.9130030239590601,1.1186440677966103,1.8828657041678016,0.6064814814814814,1.8226299694189605,1.8126515318492396,1.5143309723282952,1.4161168279953653,,,1.1018280733947925,0.95596978425085599,0.97056529956779769
2,10513336322_10151576025946323,https://www.facebook.com/photo.php?fbid=10151571876001323&amp;set=a.10150338151436323.391595.10513336322&amp;type=1,"Mike Brodie was 18 when he started riding the railroad. He came back after five years with a vivid photographic record of a teen subculture living a perilous life on the tracks

For more images see: http://gu.com/p/3enyx/tw?CMP=SOCNETTXT6965

Photograph: Mike Brodie",Photo,,,03/31/2013 08:00:02 AM,4.5037098218533442,3.340300407445306,,10.692568239484579,4.6522783015334088,3.5685649211787505,,10.415998650580732,7.1490639690872655,8.4842492648483034,8.301113739973454,5.8618283321702718,9.6013712168004943,7.0179021075506194,5.5323543087414748,9.5989469862018879,6.9521917626804397,7.2185953016711171,8.4424739795583772,13.341062609350431,7.4952488621634004,7.8019667099450354,0.44444444444444442,13.033222998651466,7.8523972504242288,7.8132962243344011,0.4081632653061224,8.6878675669788716,8.7610993657505283,3.4434782608695653,8.4881582613541369,11.685446009389672,3.6596491228070174,8.7878576413119323,3.3559322033898304,8.298556251702534,11.523148148148147,3.645259938837921,8.6100947762838871,3.6605448512320145,3.4662331989994719,,,5.5153704126232057,6.9330145100809748,7.0474629588019937
3,10513336322_10151575923746323,https://www.facebook.com/photo.php?fbid=10151575883666323&amp;set=a.10150338151436323.391595.10513336322&amp;type=1,"Last week, millions of Iranians voted for their favourite singer on 'Iranian X Factor' - Googoosh Music Academy. 

Ermia's win has prompted nationwide discussions, especially among Iranian web users, about the hijab. Some more secular Iranians accuse her of having ties with the Islamic republic because she is covered, while others – mostly conservatives inside Iran – accuse her of trying to tarnish the image of Islam.

http://gu.com/p/3ezv4/tw?CMP=NECNETTXT766",Photo,,,03/31/2013 06:30:01 AM,1.287132712845358,1.4286597127728373,,0.52511707237694594,1.329512384388966,1.4801738600960368,,0.51384761200983142,1.3759142924898982,0.57896497684492265,0.58107796179814186,0.64480111653872996,0.54970969734403952,0.62860887861750203,0.61353068815871048,0.55511982570806107,0.61236922261952054,1.4062284359905193,1.3949392466016506,0.98305760414590393,1.5512586860545576,1.228001011990981,,1.0777042213231989,1.4865613046104289,1.2274746626056818,,0.67697669353082124,0.60520752197618788,0.57391304347826089,0.5706324881582614,,0.52280701754385961,0.65759478948592687,0.55932203389830515,0.55788613456823755,,0.45565749235474012,0.62309896407317611,1.4914172353824591,1.451023074014385,,,1.5477213405763683,0.61646649638606599,0.60117104376214336
4,10513336322_10151575795461323,https://www.facebook.com/photo.php?fbid=10151571887306323&amp;set=a.10150338151436323.391595.10513336322&amp;type=1,"Professor Roger Kirby is one of the world's leading prostate surgeons. So when he developed prostate cancer last year he knew exactly what he was up against. He tells Simon Garfield about his operation – and life as a patient

http://gu.com/p/3eygb/tw?CMP=NECNETTXT766

Photograph: Nick Ballon for the Observer",Photo,,,03/31/2013 04:00:01 AM,0.72663785799852632,0.78578924623360336,,0.40462744767151027,0.79918079556096955,0.88378047716897645,,0.34078459091712315,0.63808664679596572,0.41251254600200737,0.39331467482255178,0.1318911374738311,0.48563310685608402,0.3283777724121279,0.12693738375697458,0.5022512708787219,0.31519004105416498,0.63529447061294297,0.53984804624190807,0.55221137023010658,0.52208913621877651,0.64125753780370154,,0.55704711699562748,0.46467399119905667,0.63067268812687083,,0.67697669353082124,0.6340269277845777,,0.71329061019782669,,0.52280701754385961,0.65759478948592687,,0.69735766821029688,,0.45565749235474012,0.62309896407317611,0.87799022407261906,0.7732201100418773,,,0.68352500837415231,0.44373675343731322,0.45268903897751755
5,10513336322_10151575038436323,https://www.facebook.com/photo.php?fbid=10151570317486323&amp;set=a.10150338151436323.391595.10513336322&amp;type=1,"The Guide on: Game Of Thrones' Hound on cuddles, bumfluff and the magic of Wilko

Rory McCann has done his fair share of cleaving as Sandor Clegane. But, like his fanfic-inspiring antihero in Westeros, this Scots actor is a soulful sort of fellow

http://gu.com/p/3emkg?CMP=NECNETTXT766

Photograph: Paul Schiraldi/Paul Schiraldi Photography",Photo,,,03/30/2013 02:00:01 PM,0.43142541829366371,0.50607266246160376,,0.030248970908192351,0.49778813125168675,0.58512659807380785,,0.026932159552763898,0.35676588067349585,0.24364776108890496,0.20555138784696173,0.087927424982554084,0.30689314391599753,0.056293332413507646,0.063468691878487291,0.30399419026870006,0.05403257846642829,0.35708499594971649,0.30446961393252953,0.10619449427502049,0.31679125205882641,0.36510076816787929,,0.10077234277307834,0.29106387874255807,0.35767473612350997,,0.45131779568721414,0.43229108712584846,,0.42797436611869599,0.61502347417840375,0.52280701754385961,0.41846941149104439,,0.41841460092617816,0.6064814814814814,0.45565749235474012,0.39651752259202111,0.56655506726603133,0.47142389174564592,,,0.3791427780825376,0.26505081245584483,0.31145005881653209
6,10513336322_10151574936336323,https://www.facebook.com/photo.php?fbid=10151571370966323&amp;set=a.10150338151436323.391595.10513336322&amp;type=1,"Experience in Guardian Weekend magazine: I didn't know I was having twins

'When I was pregnant with my son, I had felt so alienated and stressed whenever I came into contact with the medical profession that I decided not to involve the NHS again'

http://gu.com/p/3eaya?CMP=NECNETTXT766 

Photograph: Christopher Thomond for the Guardian",Photo,,,03/30/2013 12:30:01 PM,0.7334576134263121,0.85528032235305229,,0.078217004273066423,0.7427638617512079,0.86795232605983641,,0.06763964079744253,0.79249338547454862,0.19298832561497423,0.16404581914709446,0.1318911374738311,0.22595429277331686,0.056293332413507646,0.10578115313081214,0.22138707334785768,0.05403257846642829,0.80921664516516156,0.74595055413469735,0.9102385223573185,0.86192949798746676,0.65201689246483741,,0.8677618405459524,0.76364721447266248,0.63947907367536627,,0.62056196906991945,0.57638811616779795,0.57391304347826089,0.49930342713847869,0.61502347417840375,1.0456140350877192,0.53803210048848571,0.55932203389830515,0.48815036774720783,0.6064814814814814,0.91131498470948025,0.50980824333259855,0.85670241488938692,0.83987309393192444,,,0.9220467560880492,0.19953263409597305,0.23539830026830913
7,10513336322_10151574809526323,https://www.facebook.com/photo.php?fbid=10151571346001323&amp;set=a.10150338151436323.391595.10513336322&amp;type=1,"What makes you unhappy?
Blackburn losing.

What is your favourite word?
&quot;Snuggle.&quot;

How would you like to be remembered?
Gloriously.

Matt Smith takes Guardian Weekend's Q&amp;A: http://gu.com/p/3ecpp?CMP=NECNETTXT766

Photograph: Frederike Helwig for the Guardian",Photo,,,03/30/2013 10:30:01 AM,1.924526887055946,2.1867005362105574,,0.51435907017110338,2.2599751367049259,2.5825741056721996,,0.51772719240469722,2.9650569383930772,0.82020038386364036,0.96253390270644579,0.90858339148639211,0.87683755404570729,0.49725776965265084,1.8088577185368877,0.86241830065359482,0.49529863594225931,3.0444631124178692,2.7463159176714163,0.9011361371337453,4.327336341575136,1.1326014006622425,,0.89575415798291858,3.8514553193937129,1.1292495930263089,,2.6514920496623828,3.0260376098809392,6.3130434782608695,2.4251880746726107,1.2300469483568075,3.1368421052631579,2.4510351244475457,6.1525423728813564,2.3710160719150095,1.2129629629629628,4.5565749235474007,2.7189772977738591,2.6097109685811239,2.2368306645178642,,,3.799882842777921,1.0155317645780122,0.99953739806235875
8,10513336322_10151574721361323,https://www.facebook.com/photo.php?fbid=10151571358396323&amp;set=a.10150338151436323.391595.10513336322&amp;type=1,"Rufus Sewell was a pin-up in the 1990s, then his career stalled. He tells us about moving to LA, giving up drinking and why he can't wait to lose his looks. Read the full interview in Guardian Weekend: http://gu.com/p/3em7y?CMP=NECNETTXT766

Photograph: Linda Brownlee for the Guardian",Photo,,,03/30/2013 09:09:46 AM,1.3672496616245979,1.56435334085686,,0.30742573362342773,1.5184789716122342,1.7479596915102331,,0.27977959485292936,1.2621072552858079,0.77677801060027118,0.70361821224536902,0.73272854152128397,0.85997529339098211,0.40343554896347145,0.57121822690638557,0.84920116194626005,0.40524433849821218,1.2761993339533768,1.2539463946113563,1.1135251256837861,1.3915229955071291,1.0924331432606682,,1.0693065260921091,1.3343064223877592,1.0825080081919867,,1.0154650402962317,1.0663180149104263,0.57391304347826089,1.1412649763165228,0.61502347417840375,0.52280701754385961,1.0162828564782507,0.55932203389830515,1.1855080359575048,0.6064814814814814,0.45565749235474012,0.96297112629490844,1.7628717976026325,1.5927206954355468,,,1.5343712427565606,0.83982392261290151,0.91262110257867546
9,10513336322_10151574442396323,https://www.facebook.com/photo.php?fbid=10151570320486323&amp;set=a.10150338151436323.391595.10513336322&amp;type=1,"Guardian Weekend magazine feature: Is modern life making us ill? Yes, say those who suffer from electrosensitivity. Are they cranks, or should we all be throwing away our mobile phones?

 http://gu.com/p/3emad?CMP=NECNETTXT766

Photo: Thomas Ball",Photo,,,03/30/2013 05:20:01 AM,1.2786940243783353,1.3826923860824247,,0.71673607637277525,1.4433745933538589,1.5765511148575337,,0.72042121158572825,0.96767949892354121,0.69717032628409437,0.7095475792024929,0.68876482903000691,0.63739345274861026,0.90069331861612234,0.65584314941103528,0.64103122730573714,0.92755926367368557,0.97158801116078131,0.9447926327721724,0.83741944056873296,1.1004609821941973,0.70653095608125949,,0.84816721834007602,1.0709252495038684,0.69299480123930057,,1.0154650402962317,0.86458217425169692,0.57391304347826089,0.71329061019782669,0.61502347417840375,1.0456140350877192,0.95650151197953004,0.55932203389830515,0.69735766821029688,0.6064814814814814,0.91131498470948025,0.90632576592461978,1.5895758942162195,1.4014314341234968,,,1.1151781712146001,0.81302103146568128,0.77862514704133023
